H_2,CH_4,C_2H_2,C_2H_4,C_2H_6,CO,CO_2,label
32930.0,2397.0,0.0,0.0,157.0,313.0,560.0,1
37800.0,1740.0,8.0,8.0,249.0,56.0,197.0,1
92600.0,10200.0,0.0,0.0,0.0,6400.0,103151.0,1
8266.0,1061.0,0.0,0.0,22.0,107.0,498.0,1
9340.0,995.0,7.0,6.0,60.0,60.0,620.0,1
36036.0,4704.0,10.0,5.0,554.0,6.0,347.0,1
33046.0,619.0,0.0,2.0,58.0,51.0,1.0,1
40280.0,1069.0,1.0,1.0,1060.0,1.0,0.0,1
26788.0,18342.0,0.0,27.0,2111.0,704.0,0.0,1
78.0,20.0,28.0,13.0,11.0,0.0,784.0,1
305.0,100.0,541.0,161.0,33.0,440.0,3700.0,1
35.0,6.0,482.0,26.0,3.0,200.0,2240.0,1
543.0,120.0,1880.0,411.0,41.0,76.0,2800.0,1
1230.0,163.0,692.0,233.0,27.0,130.0,115.0,1
645.0,86.0,317.0,110.0,13.0,74.0,114.0,1
60.0,10.0,4.0,4.0,4.0,780.0,7600.0,1
95.0,10.0,39.0,11.0,0.0,122.0,467.0,1
6870.0,1028.0,5500.0,900.0,79.0,29.0,388.0,1
10092.0,5399.0,37565.0,6500.0,530.0,42.0,413.0,1
650.0,81.0,270.0,51.0,170.0,380.0,2000.0,1
210.0,22.0,7.0,6.0,6.0,19.0,74.0,1
385.0,60.0,159.0,53.0,8.0,465.0,1250.0,1
4230.0,690.0,1180.0,196.0,5.0,438.0,791.0,1
7600.0,1230.0,1560.0,836.0,318.0,4970.0,4080.0,1
595.0,80.0,244.0,89.0,9.0,524.0,2100.0,1
120.0,25.0,40.0,8.0,1.0,500.0,1600.0,1
8.0,0.0,101.0,43.0,0.0,192.0,4067.0,1
6454.0,2313.0,6432.0,2159.0,121.0,3628.0,225.0,1
2177.0,1049.0,705.0,440.0,207.0,4571.0,3923.0,1
1790.0,580.0,619.0,336.0,321.0,956.0,4250.0,1
1330.0,10.0,182.0,66.0,20.0,231.0,1820.0,1
4.0,1.0,52.0,7.0,2.0,93.0,519.0,1
1900.0,285.0,7730.0,957.0,31.0,681.0,732.0,1
57.0,24.0,30.0,27.0,2.0,540.0,2518.0,1
1000.0,500.0,500.0,400.0,1.0,200.0,1000.0,1
440.0,89.0,757.0,304.0,19.0,299.0,1190.0,1
210.0,43.0,187.0,102.0,12.0,167.0,1070.0,1
2850.0,1115.0,3675.0,1987.0,138.0,2330.0,4330.0,1
7020.0,1850.0,4410.0,2960.0,0.0,2140.0,1000.0,1
545.0,130.0,239.0,153.0,16.0,660.0,2850.0,1
7150.0,1440.0,1760.0,1210.0,97.0,608.0,2260.0,1
620.0,325.0,244.0,181.0,38.0,1480.0,2530.0,1
120.0,31.0,94.0,66.0,0.0,48.0,271.0,1
755.0,229.0,460.0,404.0,32.0,845.0,5580.0,1
5100.0,1430.0,1010.0,1140.0,0.0,117.0,197.0,1
13500.0,6110.0,4040.0,4510.0,212.0,8690.0,1460.0,1
1570.0,1110.0,1830.0,1780.0,175.0,135.0,602.0,1
3090.0,5020.0,2540.0,3800.0,323.0,270.0,400.0,1
1820.0,405.0,634.0,365.0,35.0,1010.0,8610.0,1
535.0,160.0,680.0,305.0,16.0,172.0,338.0,1
13.0,3.0,6.0,3.0,1.0,4.0,51.0,1
137.0,67.0,104.0,53.0,7.0,196.0,1678.0,1
1084.0,188.0,769.0,166.0,8.0,38.0,199.0,1
34.0,21.0,56.0,49.0,4.0,95.0,315.0,1
7940.0,2000.0,5390.0,3120.0,355.0,1130.0,285.0,1
150.0,130.0,30.0,55.0,9.0,120.0,200.0,1
